Product Name,Price,Ratings,Model Number,Processor,RAM,Operating System,Storage,Warranty,Brand,text
Acer Aspire,"₹42,990",4.1,AL15-52H,Intel Core i5 Processor,(12th Gen)12 GB LPDDR5RAM,Windows 11 Home Operating System,512 GB SSD,1 Year Carry-in Warranty,Acer,"Acer Aspire for ₹₹42,990 - Intel Core i5 Processor (12th Gen)12 GB LPDDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty"
Acer Aspire 3,"₹21,990",3.9,A324-45,Intel Celeron Dual Core Processor,8 GB LPDDR4XRAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,Acer,"Acer Aspire 3 for ₹₹21,990 - Intel Celeron Dual Core Processor8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty"
Acer Aspire 3,"₹17,990",3.8,A311-45,Intel Celeron Dual Core Processor,8 GB DDR4RAM,64 bit Windows 11 Home Operating System,512 GB SSD,1 Year Warranty,Acer,"Acer Aspire 3 for ₹₹17,990 - Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty"
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U,"₹33,990",4.1,,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,Acer,"Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U for ₹₹33,990 - AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty"
Lenovo Yoga Slim 7,"₹87,990",4.2,14IMH9,Intel Core Ultra 7 Processor,16 GB LPDDR5XRAM,Windows 11 Operating System,1 TB SSD,1 Year Carry-in Warranty,Lenovo,"Lenovo Yoga Slim 7 for ₹₹87,990 - Intel Core Ultra 7 Processor16 GB LPDDR5X RAMWindows 11 Operating System1 TB SSD35.56 cm (14 Inch) Display1 Year Carry-in Warranty"
Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U,"₹25,990",4.2,15AMN7,AMD Athlon Dual Core Processor,8 GB LPDDR5RAM,Windows 11 Operating System,512 GB SSD,,Lenovo,"Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U for ₹₹25,990 - AMD Athlon Dual Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Yr. Onsite + 1 Yr. Accidental Damage Protection"
HP Backlit,"₹44,990",4.3,,Intel Core i5 Processor,(12th Gen)8 GB DDR4RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,HP,"HP Backlit for ₹₹44,990 - Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
CHUWI,"₹16,490",3.7,,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor",(11th Gen)8 GB DDR4RAM,"/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 Operating System",256 GB SSD,"WPS Office, Operating System Software1 Year Onsite Warranty",CHUWI,"CHUWI for ₹₹16,490 - Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty"
Acer Predator Helios Neo 16,"₹1,14,990",4.4,,Intel Core i7 Processor,(14th Gen)16 GB DDR5RAM,Windows 11 Operating System,1 TB SSD,1 Year Carry-in Warranty,Acer,"Acer Predator Helios Neo 16 for ₹₹1,14,990 - Intel Core i7 Processor (14th Gen)16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 Inch) Display1 Year Carry-in Warranty"
ASUS Vivobook S 15,"₹79,990",4.5,,Intel Core i9 Processor,(13th Gen)16 GB LPDDR5RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,ASUS,"ASUS Vivobook S 15 for ₹₹79,990 - Intel Core i9 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
Lenovo,"₹37,341",4.2,,Intel Core i5 Processor,(12th Gen)8 GB DDR4RAM,Windows 11 Home Operating System,512 GB SSD,Microsoft Office Home & Student 20211 Year Onsite Warranty,Lenovo,"Lenovo for ₹₹37,341 - Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty"
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U,"₹34,990",4.2,,AMD Ryzen 5 Quad Core Processor,8 GB LPDDR5RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,ASUS,"ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U for ₹₹34,990 - AMD Ryzen 5 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹29,990",4.2,,AMD Ryzen 3 Quad Core Processor,8 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,HP,"HP 15 (2024) AMD Ryzen 3 Quad Core 7320U for ₹₹29,990 - AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
MSI Thin 15,"₹50,990",4.3,,Intel Core i5 Processor,(12th Gen)16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,2 Year Onsite Warranty,MSI,"MSI Thin 15 for ₹₹50,990 - Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty"
"ASUS Vivobook 15, with Backlit Keyboard,","₹32,990",4.3,,Intel Core i3 Processor,(12th Gen)8 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,,ASUS,"ASUS Vivobook 15, with Backlit Keyboard, for ₹₹32,990 - Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1-year warranty"
SAMSUNG Galaxy Book4 Metal,"₹36,990",4.5,,Intel Core i3 Processor,(13th Gen)8 GB LPDDR4XRAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,SAMSUNG,"SAMSUNG Galaxy Book4 Metal for ₹₹36,990 - Intel Core i3 Processor (13th Gen)8 GB LPDDR4X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,"₹54,990",4.3,,AMD Ryzen 7 Octa Core Processor,8 GB DDR5RAM,Windows 11 Home Operating System,512 GB SSD,1 Year Carry-in Warranty,ASUS,"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS for ₹₹54,990 - AMD Ryzen 7 Octa Core Processor8 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty"
SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis,"₹1,14,990",4.9,,Intel Core Ultra 5 Processor,16 GB LPDDR5XRAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,SAMSUNG,"SAMSUNG Galaxy Book5 360 AI PC Full Metal Chasis for ₹₹1,14,990 - Intel Core Ultra 5 Processor16 GB LPDDR5X RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Touchscreen Display1 Year Onsite Warranty"
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U,"₹25,990",4.1,A325-42,AMD Ryzen 3 Quad Core Processor,8 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,Acer,"Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U for ₹₹25,990 - AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty"
Acer Aspire 3,"₹21,999",3.9,A325-45,Intel Celeron Dual Core Processor,8 GB LPDDR4XRAM,Windows 11 Home Operating System,512 GB SSD,1 Year International Travelers Warranty,Acer,"Acer Aspire 3 for ₹₹21,999 - Intel Celeron Dual Core Processor8 GB LPDDR4X RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year International Travelers Warranty (ITW)"
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U,"₹34,990",4.4,,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,ASUS,"ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U for ₹₹34,990 - AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS,"₹54,990",4.3,,AMD Ryzen 7 Octa Core Processor,16 GB DDR5RAM,Windows 11 Home Operating System,512 GB SSD,1 Year Carry-in Warranty,ASUS,"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS for ₹₹54,990 - AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty"
HP,"₹48,990",4.3,,Intel Core i5 Processor,(12th Gen)16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,,HP,"HP for ₹₹48,990 - Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty"
Lenovo IdeaPad Slim 3,"₹49,990",4.4,,Intel Core i5 Processor,(12th Gen)16 GB LPDDR5RAM,Windows 11 Home Operating System,512 GB SSD,Office Home 20241 Year Carry-in Warranty,Lenovo,"Lenovo IdeaPad Slim 3 for ₹₹49,990 - Intel Core i5 Processor (12th Gen)16 GB LPDDR5 RAMWindows 11 Home Operating System512 GB SSD35.56 cm (14 inch) DisplayOffice Home 20241 Year Carry-in Warranty"
Acer Aspire 3,"₹15,990",3.8,A311-45,Intel Celeron Dual Core Processor,8 GB DDR4RAM,64 bit Windows 11 Home Operating System,256 GB SSD,1 Year Warranty,Acer,"Acer Aspire 3 for ₹₹15,990 - Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System256 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty"
MSI Modern 14,"₹39,990",4.4,,Intel Core i5 Processor,(12th Gen)16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,MSI,"MSI Modern 14 for ₹₹39,990 - Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty"
HP 15 (2024) AMD Ryzen 3 Quad Core 7320U,"₹29,990",4.2,,AMD Ryzen 3 Quad Core Processor,8 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,HP,"HP 15 (2024) AMD Ryzen 3 Quad Core 7320U for ₹₹29,990 - AMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
CHUWI,"₹16,490",3.7,,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor",(11th Gen)8 GB DDR4RAM,"/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 Operating System",256 GB SSD,"WPS Office, Operating System Software1 Year Onsite Warranty",CHUWI,"CHUWI for ₹₹16,490 - Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD StorageHard-Decoding 4k@60Hz
Graphics/GPU: UHD Graphics 600
Display: 14.1 inch, 16:9 IPS Display
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keysIntel Celeron Dual Core Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty"
ASUS Vivobook 15,"₹40,990",4.2,,Intel Core i5 Processor,(12th Gen)8 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,ASUS,"ASUS Vivobook 15 for ₹₹40,990 - Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
Lenovo V15 AMD Ryzen 3 Quad Core 7th Gen 7320U,"₹27,490",4.0,,AMD Ryzen 3 Quad Core Processor,(7th Gen)8 GB DDR5RAM,64 bit Windows 11 Operating System,512 GB SSD,,Lenovo,"Lenovo V15 AMD Ryzen 3 Quad Core 7th Gen 7320U for ₹₹27,490 - AMD Ryzen 3 Quad Core Processor (7th Gen)8 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) DisplayMS OFFICE1 year Onsite Warrenty"
HP Victus AI AMD Ryzen 5 Hexa Core 8645HS,"₹58,990",4.3,,AMD Ryzen 5 Hexa Core Processor,16 GB DDR5RAM,Windows 11 Home Operating System,512 GB SSD,1 Year Onsite Warranty,HP,"HP Victus AI AMD Ryzen 5 Hexa Core 8645HS for ₹₹58,990 - AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty"
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS,"₹59,990",4.4,,AMD Ryzen 5 Quad Core Processor,12 GB DDR5RAM,Windows 11 Operating System,512 GB SSD,1Yr Warranty,Lenovo,"Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS for ₹₹59,990 - AMD Ryzen 5 Quad Core Processor12 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1Yr Warranty and 1 Yr Accidental Damage Protection"
DELL 15,"₹47,490",3.9,,Intel Core i5 Processor,(12th Gen)8 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,"My Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Warranty",DELL,"DELL 15 for ₹₹47,490 - Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMy Dell (Dell Power Manager,Dell Support Assist)1 Year Onsite Warranty"
HP AMD Ryzen 5 Quad Core 7520U,"₹39,490",3.9,15-fc0156AU,AMD Ryzen 5 Quad Core Processor,16 GB LPDDR5RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,HP,"HP AMD Ryzen 5 Quad Core 7520U for ₹₹39,490 - AMD Ryzen 5 Quad Core Processor16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
Acer Aspire Lite,"₹32,990",4.1,,Intel Core i3 Processor,(13th Gen)16 GB DDR4RAM,64 bit Windows 11 Home Operating System,512 GB SSD,1 Year Warranty,Acer,"Acer Aspire Lite for ₹₹32,990 - Intel Core i3 Processor (13th Gen)16 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Warranty"
HP Laptop,"₹35,990",4.5,15-fd0129TU,Intel Core i3 Processor,(13th Gen)8 GB DDR4RAM,Windows 11 Home Operating System,512 GB SSD,1 Year Carry-in Warranty,HP,"HP Laptop for ₹₹35,990 - Intel Core i3 Processor (13th Gen)8 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Carry-in Warranty"
HP Pavilion,"₹69,990",4.4,16-af0056TU,Intel Core Ultra 5 Processor,16 GB LPDDR5RAM,Windows 11 Operating System,1 TB SSD,1 Year Onsite Warranty,HP,"HP Pavilion for ₹₹69,990 - Intel Core Ultra 5 Processor16 GB LPDDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 inch) Display1 Year Onsite Warranty"
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS,"₹52,990",3.6,,AMD Ryzen 5 Hexa Core Processor,8 GB DDR5RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,ASUS,"ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS for ₹₹52,990 - AMD Ryzen 5 Hexa Core Processor8 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U,"₹31,490",4.1,,AMD Ryzen 3 Quad Core Processor,16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,Acer,"Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U for ₹₹31,490 - AMD Ryzen 3 Quad Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty"
Acer Aspire 7,"₹60,990",4.3,,Intel Core i5 Processor,(13th Gen)16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,Acer,"Acer Aspire 7 for ₹₹60,990 - Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U,"₹28,990",4.2,,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,ASUS,"ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U for ₹₹28,990 - AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
Lenovo IdeaPad Slim 3,"₹49,490",4.2,,Intel Core i5 Processor,(12th Gen)16 GB LPDDR5RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,Lenovo,"Lenovo IdeaPad Slim 3 for ₹₹49,490 - Intel Core i5 Processor (12th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty."
CHUWI,"₹17,490",4.1,,Intel Celeron Quad Core Processor,(12th Gen)8 GB LPDDR5RAM,64 bit Windows 11 Home Operating System,256 GB SSD,"WPS Office, Operating System Software1 Year Onsite Warranty",CHUWI,"CHUWI for ₹₹17,490 - Intel Celeron Quad Core Processor (12th Gen)8 GB LPDDR5 RAM64 bit Windows 11 Home Operating System256 GB SSD35.81 cm (14.1 inch) DisplayWPS Office, Operating System Software1 Year Onsite Warranty"
HP Victus,"₹69,990",4.4,,Intel Core i5 Processor,(13th Gen)16 GB DDR4RAM,Windows 11 Home Operating System,512 GB SSD,Windows 11 and Microsoft Office Home & Student Edition 20241 Year Carry-in Warranty,HP,"HP Victus for ₹₹69,990 - Intel Core i5 Processor (13th Gen)16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayWindows 11 and Microsoft Office Home & Student Edition 20241 Year Carry-in Warranty"
Lenovo ThinkBook 16 G6 ABP AMD Ryzen 7 Octa Core 7730U,"₹52,990",4.1,,AMD Ryzen 7 Octa Core Processor,16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,Lenovo,"Lenovo ThinkBook 16 G6 ABP AMD Ryzen 7 Octa Core 7730U for ₹₹52,990 - AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD40.64 cm (16 inch) Display1 Year Onsite Warranty"
Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U,"₹39,990",4.0,,AMD Ryzen 7 Octa Core Processor,16 GB DDR4RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,Acer,"Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U for ₹₹39,990 - AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
HP Omen AMD Ryzen 7 Octa Core 7840HS,"₹95,990",4.5,,AMD Ryzen 7 Octa Core Processor,16 GB DDR5RAM,Windows 11 Operating System,1 TB SSD,1 Year Onsite Warranty,HP,"HP Omen AMD Ryzen 7 Octa Core 7840HS for ₹₹95,990 - AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System1 TB SSD40.89 cm (16.1 Inch) Display1 Year Onsite Warranty"
HP Victus AI Powered AMD Ryzen 7 Octa Core 7840HS,"₹72,990",4.3,,AMD Ryzen 7 Octa Core Processor,16 GB DDR5RAM,64 bit Windows 11 Operating System,512 GB SSD,Microsoft Office 2021 t1 Year Onsite Warranty,HP,"HP Victus AI Powered AMD Ryzen 7 Octa Core 7840HS for ₹₹72,990 - AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD40.89 cm (16.1 Inch) DisplayMicrosoft Office 2021 t1 Year Onsite Warranty"
Lenovo LOQ,"₹65,900",3.7,,Intel Core i5 Processor,(12th Gen)16 GB DDR5RAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,Lenovo,"Lenovo LOQ for ₹₹65,900 - Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty"
DELL Wyse 5470,"₹21,350",3.8,,Intel Celeron Quad Core Processor,8 GB DDR4RAM,64 bit Windows 11 Operating System,256 GB SSD,,DELL,"DELL Wyse 5470 for ₹₹21,350 - Intel Celeron Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 YEAR WARRANTY"
MOTOROLA Motobook 60 Full Metal,"₹73,990",4.2,,Intel Core 7 (Series 2) Processor,16 GB DDR5RAM,64 bit Windows 11 Operating System,1 TB SSD,Office Home 20241 Year Onsite Warranty,MOTOROLA,"MOTOROLA Motobook 60 Full Metal for ₹₹73,990 - Intel Core 7 (Series 2) Processor16 GB DDR5 RAM64 bit Windows 11 Operating System1 TB SSD35.56 cm (14 Inch) DisplayOffice Home 20241 Year Onsite Warranty"
Apple MacBook AIR Apple M2,"₹70,990",4.7,,Apple M2 Processor,16 GB Unified MemoryRAM,Mac OS Operating System,256 GB SSD,"Built-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather1 Year Limited Warranty",Apple,"Apple MacBook AIR Apple M2 for ₹₹70,990 - Apple M2 Processor16 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather1 Year Limited Warranty"
Acer Aspire 3,"₹17,990",3.8,A311-45,Intel Celeron Dual Core Processor,8 GB DDR4RAM,64 bit Windows 11 Home Operating System,512 GB SSD,1 Year Warranty,Acer,"Acer Aspire 3 for ₹₹17,990 - Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Home Operating System512 GB SSD29.46 cm (11.6 inch) Display1 Year Warranty"
Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U,"₹33,990",4.1,,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4RAM,Windows 11 Operating System,512 GB SSD,1 Year Carry-in Warranty,Acer,"Acer Aspire 3 Backlit AMD Ryzen 5 Hexa Core 7430U for ₹₹33,990 - AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Carry-in Warranty"
Ultimus Pro,"₹11,990",3.6,,Intel Celeron Dual Core Processor,4 GB DDR4RAM,64 bit Windows 11 Home Operating System,,Pre Loaded Windows App1 Year Warranty,Ultimus,"Ultimus Pro for ₹₹11,990 - Intel Celeron Dual Core Processor4 GB DDR4 RAM64 bit Windows 11 Home Operating System35.81 cm (14.1 Inch) DisplayPre Loaded Windows App1 Year Warranty and Only 6 Months Warranty on Battery and Adaptor"
Lenovo LOQ,"₹67,990",3.5,,Intel Core i5 Processor,(12th Gen)16 GB DDR5RAM,Windows 11 Operating System,512 GB SSD,Office Home & Student 20211Yr Warranty,Lenovo,"Lenovo LOQ for ₹₹67,990 - Intel Core i5 Processor (12th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home & Student 20211Yr Warranty and 1 Yr Accidental Damage Protection"
HP Backlit,"₹44,990",4.3,,Intel Core i5 Processor,(12th Gen)8 GB DDR4RAM,64 bit Windows 11 Operating System,512 GB SSD,1 Year Onsite Warranty,HP,"HP Backlit for ₹₹44,990 - Intel Core i5 Processor (12th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty"
